Modelo,tau,Accuracy,Precision,Recall,F1
KNN,0.7,0.7334674377671612,0.5607701564380265,0.40137812230835485,0.4678714859437751
KNN,0.75,0.6721146592909228,0.6331904470300062,0.5945945945945946,0.6132858837485172
KNN,0.78,0.6530047774704552,0.6520408163265307,0.6467611336032388,0.649390243902439
KNN,0.83,0.7148604475735479,0.766819072501633,0.8482658959537572,0.8054888507718696
Logit,0.7,0.7400050289162685,0.6063651591289783,0.31180017226528856,0.4118316268486917
Logit,0.75,0.6957505657530803,0.6825396825396826,0.5687176538240368,0.6204516938519448
Logit,0.78,0.6761377923057581,0.6875681570338059,0.6381578947368421,0.6619422572178477
Logit,0.83,0.7296957505657531,0.7467210725735937,0.9255780346820809,0.8265849330537184
Random Forest,0.7,0.760120693990445,0.647226173541963,0.39190353143841516,0.48819742489270385
Random Forest,0.75,0.7146090017601207,0.6896984924623115,0.6313973548016101,0.6592614830381267
Random Forest,0.78,0.6944933366859442,0.701216287678477,0.6710526315789473,0.6858029480217223
Random Forest,0.83,0.747799849132512,0.7604012983180879,0.9309971098265896,0.8370959883059932
SVM,0.7,0.7465426200653759,0.6335078534031413,0.31266149870801035,0.4186851211072664
SVM,0.75,0.6977621322604979,0.6830265848670757,0.5761932144910868,0.6250779787897692
SVM,0.78,0.6872014080965552,0.6896373056994819,0.673582995951417,0.6815156169994879
SVM,0.83,0.7397535831028413,0.7482096820395302,0.9436416184971098,0.834638121105608
XGBoost,0.7,0.7679155142066885,0.6506329113924051,0.4427217915590009,0.5269092772936955
XGBoost,0.75,0.7229067136032185,0.6936170212765957,0.6561242093156987,0.6743498817966903
XGBoost,0.78,0.705305506663314,0.7020100502512563,0.7069838056680162,0.7044881492687847
XGBoost,0.83,0.7475484033190848,0.7730650154798762,0.9020953757225434,0.8326108702900967
